event_message,id,identifier,method,path,status_code,timestamp
GET | 200 | 3.22.168.110 | 92baa27038dacf6e | https://vmmpodvzidqucxgizpoi.supabase.co/rest/v1/files?select=id%2Ctranscript_text%2Ccreated_at%2Cfile_metadata&or=%28transcript_text.ilike.%25tests%25%29&limit=10 | node,42eb13dc-0f67-44ea-acf7-3e94881ebaf8,vmmpodvzidqucxgizpoi,GET,/rest/v1/files,200,1743872770749000
POST | 200 | 3.22.168.110 | 92baa26ede50cf6e | https://vmmpodvzidqucxgizpoi.supabase.co/rest/v1/rpc/search_memory_chunks | node,26d44575-00be-423c-ac47-0fe9d7a5e520,vmmpodvzidqucxgizpoi,POST,/rest/v1/rpc/search_memory_chunks,200,1743872770578000
GET | 200 | 3.22.168.110 | 92baa19c4cf010d3 | https://vmmpodvzidqucxgizpoi.supabase.co/rest/v1/files?select=id%2Ctranscript_text%2Ccreated_at%2Cfile_metadata&transcript_text=ilike.%25How+many+times+have+I+mentioned+Marc+this+week%3F%25&limit=10 | node,f8aa0e18-c55d-4135-83ed-7c90ea8b4cc2,vmmpodvzidqucxgizpoi,GET,/rest/v1/files,200,1743872737028000
POST | 200 | 3.22.168.110 | 92baa199391610d3 | https://vmmpodvzidqucxgizpoi.supabase.co/rest/v1/rpc/search_memory_chunks | node,670bf8ce-d087-4c67-b07a-c77faa3ac5c5,vmmpodvzidqucxgizpoi,POST,/rest/v1/rpc/search_memory_chunks,200,1743872736645000
GET | 200 | 3.144.14.165 | 92ba96c3adbfcf81 | https://vmmpodvzidqucxgizpoi.supabase.co/rest/v1/files?select=id%2Ctranscript_text%2Ccreated_at%2Cfile_metadata&transcript_text=ilike.%25What+was+the+last+thing+I+shared+about+Marc%3F%25&limit=10 | node,46057574-e2ca-41a7-9c5f-40e91befb65e,vmmpodvzidqucxgizpoi,GET,/rest/v1/files,200,1743872292563000
POST | 200 | 3.144.14.165 | 92ba96c16aa7cf81 | https://vmmpodvzidqucxgizpoi.supabase.co/rest/v1/rpc/search_memory_chunks | node,b501d2d5-01fb-4b80-af07-a399e7b07e7c,vmmpodvzidqucxgizpoi,POST,/rest/v1/rpc/search_memory_chunks,200,1743872292410000
GET | 200 | 3.144.14.165 | 92ba966e1dedcf81 | https://vmmpodvzidqucxgizpoi.supabase.co/rest/v1/files?select=id%2Ctranscript_text%2Ccreated_at%2Cfile_metadata&transcript_text=ilike.%25How+many+times+have+I+mentioned+Marc+in+my+memories%3F%25&limit=10 | node,0c6bc91e-fac8-4506-9e11-1c17a6cc61dc,vmmpodvzidqucxgizpoi,GET,/rest/v1/files,200,1743872278852000
POST | 200 | 3.144.14.165 | 92ba966bcab3cf81 | https://vmmpodvzidqucxgizpoi.supabase.co/rest/v1/rpc/search_memory_chunks | node,a7f45df0-6c87-46a8-a0e2-eaf22bf0d5b0,vmmpodvzidqucxgizpoi,POST,/rest/v1/rpc/search_memory_chunks,200,1743872278722000
GET | 200 | 3.144.14.165 | 92ba95f2f896cf70 | https://vmmpodvzidqucxgizpoi.supabase.co/rest/v1/files?select=id%2Ctranscript_text%2Ccreated_at%2Cfile_metadata&transcript_text=ilike.%25When+did+I+last+say+the+word+%27test%27%3F%25&limit=10 | node,01559703-466a-4f42-8a64-0560e9c3db00,vmmpodvzidqucxgizpoi,GET,/rest/v1/files,200,1743872259167000
POST | 200 | 3.144.14.165 | 92ba95f0ce31cf70 | https://vmmpodvzidqucxgizpoi.supabase.co/rest/v1/rpc/search_memory_chunks | node,70d76167-49d0-4a3c-95ef-463c694c95e6,vmmpodvzidqucxgizpoi,POST,/rest/v1/rpc/search_memory_chunks,200,1743872259019000
POST | 200 | 3.144.14.165 | 92ba95541d65cf52 | https://vmmpodvzidqucxgizpoi.supabase.co/rest/v1/rpc/search_memory_chunks | node,a04d14ff-82b3-4b72-a600-6f4d78bbf725,vmmpodvzidqucxgizpoi,POST,/rest/v1/rpc/search_memory_chunks,200,1743872234041000
GET | 200 | 3.144.14.165 | 92ba94d76b3b10cb | https://vmmpodvzidqucxgizpoi.supabase.co/rest/v1/files?select=id%2Ctranscript_text%2Ccreated_at%2Cfile_metadata&transcript_text=ilike.%25How+many+times+have+I+mentioned+the+word+%27test%27+or+%27testing%27+this+week%3F%25&limit=10 | node,37668825-5aa3-4183-8c2e-8579a030c7d2,vmmpodvzidqucxgizpoi,GET,/rest/v1/files,200,1743872214006000
POST | 200 | 3.144.14.165 | 92ba94d4781a10cb | https://vmmpodvzidqucxgizpoi.supabase.co/rest/v1/rpc/search_memory_chunks | node,7b02cf50-134c-4650-94c6-16dc50bbd32e,vmmpodvzidqucxgizpoi,POST,/rest/v1/rpc/search_memory_chunks,200,1743872213633000
